id,title,authors,venue,year
0,the wasa2 object-oriented workflow management system 1999,"gottfried vossen , mathias weske",international conference on management of data,
1,a user-centered interface for querying distributed multimedia databases,"isabel f. cruz , kimberly m. james",international conference on management of data,1999.0
2,"world wide database-integrating the web , corba and databases international conference on management of data 1999","athman bouguettaya , boualem benatallah , lily hendra , james beard , kevin smith , mourad quzzani",,
3,xml-based information mediation with mix international conference on management of data 1999,"chaitan baru , amarnath gupta , bertram lud &#228; scher , richard marciano , yannis papakonstantinou , pavel velikhov , vincent chu",,
4,"the ccube constraint object-oriented database system alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo 1999",,international conference on management of data,
5,the cornell jaguar project : adding mobility to predator,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu",international conference on management of data,1999.0
6,"the active multisync controller of the cubetree storage organization nick roussopoulos , yannis kotidis , yannis sismanis 1999",,international conference on management of data,
7,"the jungle database search engine michael b &#246; hlen , linas bukauskas , curtis dyreson",,international conference on management of data,1999.0
8,adept : an agent-based approach to business process management acm sigmod record,"n. r. jennings , t. j. norman , p. faratin",,1998.0
9,a componentized architecture for dynamic electronic markets acm sigmod record 1998,"benny reich , israel ben-shaul",,
10,"design and implementation of rmp : a virtual electronic market place susanne boll , wolfgang klas , bernard battaglin 1998",,acm sigmod record,
11,"discovering internet marketing intelligence through online analytical web usage mining alex g. b &#252; chner , maurice d. mulvenna",,acm sigmod record,1998.0
12,component-based e-commerce : assessment of current practices and future directions 1998,"martin bichler , arie segev , j. leon zhao",acm sigmod record,
13,building database-driven electronic catalogs sherif danish acm sigmod record,,,1998.0
14,xml and electronic commerce : enabling the network economy acm sigmod record 1998,"bart meltzer , robert glushko",,
15,"a workflow-based electronic marketplace on the web asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer 1998",,acm sigmod record,
16,"dbis-toolkit : adaptable middleware for large scale data delivery mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik international conference on management of data",,,1999.0
17,"an xjml-based wrapper generator for web information extraction ling liu , wei han , david buttler , calton pu , wei tang 1999",,international conference on management of data,
