ltable_id,rtable_id,label
1756,1418,0
217,2135,0
2476,1309,0
610,1595,1
2183,1630,0
2580,616,1
420,1866,0
1541,747,0
1278,1799,0
1832,910,0
2232,1122,0
1061,1284,1
1496,658,0
1491,1179,0
1459,1317,1
2061,1072,0
2463,1546,1
198,1213,0
267,1631,0
516,735,1
1021,225,0
1938,73,1
1466,990,0
1118,1915,0
2038,895,1
162,1511,0
624,920,1
2227,2091,1
575,650,0
39,323,0
2224,1051,0
1610,1915,0
1798,493,0
373,2239,0
164,1467,1
1143,1812,0
2081,1419,1
924,1026,0
1189,1969,1
331,1701,1
2031,1408,0
1496,1831,0
135,1441,0
1656,910,0
1475,1909,0
1690,1640,0
424,1813,1
2562,1409,0
1086,342,0
2313,1042,0
817,256,0
385,304,0
1645,927,0
774,826,1
1717,220,0
1228,1083,0
644,1479,0
1160,526,0
2601,226,0
2416,976,1
2037,817,0
441,1363,1
644,1254,0
2185,1946,0
107,1334,0
2414,2045,0
229,1609,0
1985,1630,0
688,1938,0
175,680,0
341,822,0
1530,26,0
1511,220,0
690,1906,0
1927,1408,0
2162,1225,0
1115,1425,1
1380,745,0
507,1063,0
1829,1915,0
289,1898,0
20,465,0
387,650,0
1118,1159,0
1251,403,0
356,1894,0
21,306,0
1866,1854,0
557,2055,0
2364,1883,0
1106,929,0
942,2133,0
1972,1945,0
598,1873,0
1274,950,0
821,94,0
420,152,0
2371,2101,0
2562,2119,0
1777,1599,0
692,1648,0
507,443,0
1034,1958,0
1985,1236,0
1692,638,0
2309,2179,1
661,1044,0
1829,879,0
1049,242,1
156,480,0
690,1046,0
2125,883,0
2386,1073,0
1232,242,0
1721,2049,0
387,334,0
665,2019,0
1469,2154,0
40,1558,1
2386,1848,0
1103,480,0
2601,526,0
1610,919,0
289,2250,0
1792,938,1
1328,517,1
2546,1909,0
1439,2247,0
575,927,0
1910,2016,0
201,342,0
703,2227,0
267,1648,0
22,189,0
972,1459,0
1450,1454,0
11,1898,0
2302,1317,0
413,1129,1
2091,562,0
334,816,0
1624,232,0
1560,1471,0
644,1317,0
1989,1215,0
1894,2054,0
542,582,0
1669,839,1
1729,1512,0
871,2081,1
1507,232,0
719,1632,0
8,1759,1
487,801,1
963,1495,0
736,557,0
1531,1371,0
1749,160,1
