ltable_id,rtable_id,label
2082,1496,0
982,2999,1
3715,2562,0
3246,284,0
1931,810,1
704,411,0
1880,872,0
3325,2266,0
2047,1103,0
2718,2787,0
141,2672,0
4138,823,0
190,805,1
2277,1255,0
4162,2313,0
1850,742,1
2909,1529,1
3963,1026,0
2480,558,0
1185,2991,0
2433,2722,0
2175,996,1
1466,972,0
178,838,0
732,621,0
2423,881,0
1857,1860,0
3388,99,0
2125,22,0
3605,521,0
2272,64,0
492,1661,0
4200,469,0
4101,2360,1
285,623,0
2602,1255,0
890,2580,1
2689,1373,1
1672,590,1
3126,461,0
1755,2883,0
354,22,0
2086,490,0
2089,1038,0
2423,1934,0
2156,1889,0
2365,469,0
3210,1737,1
4286,2362,1
773,22,0
3758,2120,1
1587,1911,0
487,646,0
1587,1534,0
1898,2085,0
1755,1551,0
2401,179,0
184,1534,0
2602,1955,0
3417,1983,0
1118,2812,0
9,2883,0
3813,22,0
1587,1496,0
1621,1853,0
486,2883,0
1524,284,0
890,615,0
3248,1298,0
736,316,0
4003,2284,1
4088,2351,1
285,90,0
138,1635,0
3325,1973,0
2209,2728,0
2026,1911,0
2606,1320,1
1460,412,1
138,646,0
1281,704,0
2362,1136,1
3963,2334,0
178,1103,0
3813,1026,0
2082,1638,0
1458,1414,0
1207,1604,0
1219,2463,0
1725,419,0
138,90,0
2491,1260,0
285,1026,0
1661,351,0
2480,2621,0
1898,1408,0
1436,1069,0
285,1534,0
487,1414,0
44,1119,0
386,2204,1
167,635,0
2992,1590,1
3963,1863,0
1458,646,0
2082,1103,0
1207,558,0
1433,1261,0
1456,409,1
3963,1551,0
4329,2416,0
491,1120,0
3325,63,0
34,2048,0
2399,144,0
3802,2149,1
3246,1682,0
2047,63,0
2433,1534,0
9,881,0
2972,2883,0
2089,845,0
3800,2146,1
1648,571,1
2423,465,0
260,1174,0
2319,980,0
833,641,0
3325,1119,0
3126,1934,0
120,213,1
3325,1103,0
1926,2048,0
1433,418,0
3852,2875,0
29,1026,0
2423,1519,0
2960,287,0
2602,730,0
3185,2266,0
4117,22,0
2433,1103,0
1289,2622,0
429,2636,0
1458,1496,0
1621,12,0
3661,2672,0
1647,2409,0
3035,1620,1
1914,793,1
2463,1206,1
3185,1661,0
3632,1275,0
2289,1085,1
2724,1886,0
1458,1551,0
1501,2750,0
284,2517,0
487,1635,0
3963,124,0
2934,1103,0
2433,349,0
2506,1242,1
1815,2654,0
3626,2728,0
1524,1682,0
1794,881,0
3090,461,0
2780,1594,0
2433,1496,0
1178,1889,0
3842,1281,0
1219,730,0
2724,1221,0
3134,641,0
4256,730,0
1218,2618,0
589,1586,0
295,980,0
44,1889,0
4030,2508,0
403,2582,0
2480,1604,0
3478,1119,0
833,22,0
4157,2405,1
44,1534,0
178,1534,0
42,1025,0
2934,1911,0
141,2991,0
3130,1255,0
543,2232,0
138,1255,0
1157,155,1
486,1551,0
1458,1679,0
2960,1275,0
4256,2491,0
2770,1428,0
3381,2275,0
4083,2424,0
3842,2546,0
2026,2582,0
295,1255,0
696,22,0
487,621,0
3715,216,0
3992,1681,0
1375,2610,0
294,1586,1
4237,2466,1
781,2835,1
1178,1414,0
1226,1911,0
2480,2602,0
99,1698,0
2722,1393,1
1794,1973,0
2925,2208,0
3813,2583,0
654,1892,0
3445,369,0
512,1356,0
2979,216,0
3478,1934,0
3402,1496,0
486,1106,0
480,2576,1
61,2710,1
3626,641,0
1664,1348,0
3478,1096,0
418,2441,1
1604,213,0
2272,980,0
1599,2975,0
99,2139,0
138,1638,0
1725,1376,0
906,419,0
184,1428,0
613,2429,0
4329,2314,0
4304,2429,0
4216,730,0
2811,838,0
171,1026,0
1515,716,0
1022,2839,0
491,1638,0
492,2991,0
2526,411,0
1857,545,0
3246,2019,0
4200,1825,0
3079,1650,1
2156,124,0
9,2728,0
1178,698,0
655,90,0
1755,1661,0
2156,1255,0
3251,997,0
1725,2244,0
252,2975,0
3963,64,0
1649,2313,0
